[11400/100000] batch loss : 1.4473 | time : 4.83s
[11500/100000] batch loss : 2.0890 | time : 4.99s
[11600/100000] batch loss : 0.9520 | time : 4.98s
[11700/100000] batch loss : 1.5343 | time : 4.99s
[11800/100000] batch loss : 0.8170 | time : 4.97s
[11900/100000] batch loss : 1.9865 | time : 4.97s
[12000/100000] batch loss : 1.1189 | time : 5.00s
[12100/100000] batch loss : 1.4931 | time : 4.99s
[12200/100000] batch loss : 1.0370 | time : 4.95s
[12300/100000] batch loss : 1.0490 | time : 4.95s
[12400/100000] batch loss : 1.3046 | time : 4.95s
[12500/100000] batch loss : 1.2956 | time : 4.99s
[12600/100000] batch loss : 0.4077 | time : 4.95s
[12700/100000] batch loss : 1.5215 | time : 4.94s
[12800/100000] batch loss : 1.8219 | time : 5.08s
[12900/100000] batch loss : 0.5886 | time : 5.05s
[13000/100000] batch loss : 2.7756 | time : 4.98s
[13100/100000] batch loss : 1.0819 | time : 5.02s
[13200/100000] batch loss : 0.8631 | time : 5.08s
[13300/100000] batch loss : 1.3835 | time : 5.02s
[13400/100000] batch loss : 0.9649 | time : 5.00s
[13500/100000] batch loss : 0.6975 | time : 4.98s
[13600/100000] batch loss : 0.5205 | time : 5.01s
[13700/100000] batch loss : 1.1819 | time : 5.10s
[13800/100000] batch loss : 1.1229 | time : 5.03s
[13900/100000] batch loss : 0.8782 | time : 5.00s
[14000/100000] batch loss : 1.7871 | time : 4.99s
[14100/100000] batch loss : 0.9063 | time : 5.04s
[14200/100000] batch loss : 1.4373 | time : 4.91s
[14300/100000] batch loss : 1.4236 | time : 4.98s
[14400/100000] batch loss : 0.5946 | time : 5.00s
[14500/100000] batch loss : 1.9120 | time : 4.96s
[14600/100000] batch loss : 0.4222 | time : 4.97s
[14700/100000] batch loss : 1.3061 | time : 4.95s
[14800/100000] batch loss : 0.9012 | time : 4.92s
[14900/100000] batch loss : 0.9779 | time : 5.06s
[15000/100000] batch loss : 0.7227 | time : 5.03s
[15100/100000] batch loss : 1.2411 | time : 5.04s
[15200/100000] batch loss : 0.5961 | time : 5.00s
[15300/100000] batch loss : 1.3911 | time : 5.00s
[15400/100000] batch loss : 1.1677 | time : 5.02s
[15500/100000] batch loss : 2.1675 | time : 5.46s
[15600/100000] batch loss : 1.5707 | time : 4.87s
[15700/100000] batch loss : 1.3404 | time : 4.99s
[15800/100000] batch loss : 0.9426 | time : 5.01s
[15900/100000] batch loss : 0.9889 | time : 4.98s
[16000/100000] batch loss : 1.5377 | time : 4.99s
[16100/100000] batch loss : 0.5307 | time : 5.00s
[16200/100000] batch loss : 1.2956 | time : 4.99s
[16300/100000] batch loss : 1.1670 | time : 4.94s
[16400/100000] batch loss : 1.9479 | time : 4.99s
[16500/100000] batch loss : 2.2586 | time : 4.84s
[16600/100000] batch loss : 1.0404 | time : 5.03s
[16700/100000] batch loss : 2.0027 | time : 5.02s
[16800/100000] batch loss : 0.9870 | time : 5.02s
[16900/100000] batch loss : 1.3281 | time : 5.03s
[17000/100000] batch loss : 2.4293 | time : 4.98s
[17100/100000] batch loss : 1.0860 | time : 5.02s
[17200/100000] batch loss : 1.1138 | time : 5.01s
[17300/100000] batch loss : 1.2327 | time : 5.05s
[17400/100000] batch loss : 1.4634 | time : 4.99s
[17500/100000] batch loss : 1.7916 | time : 4.94s
[17600/100000] batch loss : 1.0551 | time : 4.98s
[17700/100000] batch loss : 2.0451 | time : 4.99s
[17800/100000] batch loss : 0.8932 | time : 4.98s
[17900/100000] batch loss : 1.1307 | time : 4.94s
[18000/100000] batch loss : 1.5848 | time : 4.93s
[18100/100000] batch loss : 0.6620 | time : 4.88s
[18200/100000] batch loss : 1.2346 | time : 5.01s
[18300/100000] batch loss : 1.7239 | time : 4.95s
[18400/100000] batch loss : 2.6167 | time : 4.98s
[18500/100000] batch loss : 3.7155 | time : 4.94s
[18600/100000] batch loss : 2.1027 | time : 4.98s
[18700/100000] batch loss : 0.6635 | time : 4.98s
[18800/100000] batch loss : 1.7790 | time : 4.97s
[18900/100000] batch loss : 0.9664 | time : 5.01s
[19000/100000] batch loss : 2.0351 | time : 4.97s
[19100/100000] batch loss : 1.8014 | time : 5.01s
[19200/100000] batch loss : 1.0848 | time : 5.01s
[19300/100000] batch loss : 0.9015 | time : 4.96s
[19400/100000] batch loss : 1.1042 | time : 4.89s
[19500/100000] batch loss : 0.7928 | time : 4.98s
[19600/100000] batch loss : 1.2368 | time : 4.96s
[19700/100000] batch loss : 1.2168 | time : 4.93s
[19800/100000] batch loss : 1.1852 | time : 5.03s
[19900/100000] batch loss : 0.7151 | time : 4.97s
[20000/100000] batch loss : 0.8432 | time : 4.96s
[20001/100000] mean test loss : 2.3294 -> 0.4761 by 1 grad steps
A check point has been generated : checkpoints/iter_20000.pt
[20100/100000] batch loss : 0.7117 | time : 6.82s
[20200/100000] batch loss : 0.8886 | time : 5.40s
[20300/100000] batch loss : 1.8078 | time : 4.97s
[20400/100000] batch loss : 1.5639 | time : 4.97s
[20500/100000] batch loss : 0.8025 | time : 4.86s
[20600/100000] batch loss : 1.9392 | time : 4.97s
[20700/100000] batch loss : 0.7721 | time : 4.98s
[20800/100000] batch loss : 1.4556 | time : 4.94s
[20900/100000] batch loss : 1.2991 | time : 4.99s
[21000/100000] batch loss : 0.7688 | time : 4.95s
[21100/100000] batch loss : 0.8266 | time : 4.95s
[21200/100000] batch loss : 0.6099 | time : 4.91s
[21300/100000] batch loss : 0.5045 | time : 5.03s
[21400/100000] batch loss : 1.1009 | time : 4.97s
[21500/100000] batch loss : 1.3129 | time : 4.91s
[21600/100000] batch loss : 1.1437 | time : 4.91s
[21700/100000] batch loss : 0.6405 | time : 4.94s
[21800/100000] batch loss : 1.0306 | time : 4.96s
[21900/100000] batch loss : 1.5320 | time : 4.93s
[22000/100000] batch loss : 1.5540 | time : 4.87s
[22100/100000] batch loss : 0.7473 | time : 5.55s
[22200/100000] batch loss : 1.8726 | time : 5.37s
[22300/100000] batch loss : 1.7836 | time : 5.02s
[22400/100000] batch loss : 1.2987 | time : 4.96s
[22500/100000] batch loss : 0.8281 | time : 4.86s
[22600/100000] batch loss : 1.9624 | time : 4.98s
[22700/100000] batch loss : 1.4253 | time : 5.01s
[22800/100000] batch loss : 1.2837 | time : 4.96s
[22900/100000] batch loss : 0.9602 | time : 4.97s
[23000/100000] batch loss : 0.9421 | time : 4.95s
[23100/100000] batch loss : 0.2145 | time : 5.00s
[23200/100000] batch loss : 1.0151 | time : 4.99s
[23300/100000] batch loss : 0.9630 | time : 5.00s
[23400/100000] batch loss : 1.0165 | time : 5.11s
[23500/100000] batch loss : 1.1483 | time : 5.01s
[23600/100000] batch loss : 2.0746 | time : 5.01s
[23700/100000] batch loss : 1.2730 | time : 4.95s
[23800/100000] batch loss : 0.8556 | time : 4.96s
[23900/100000] batch loss : 0.7963 | time : 4.98s
[24000/100000] batch loss : 0.8440 | time : 5.04s
[24100/100000] batch loss : 2.2236 | time : 4.98s
[24200/100000] batch loss : 0.9107 | time : 5.00s
[24300/100000] batch loss : 1.3849 | time : 4.98s
[24400/100000] batch loss : 0.7168 | time : 5.07s
[24500/100000] batch loss : 0.6809 | time : 5.11s
[24600/100000] batch loss : 0.9174 | time : 5.61s
[24700/100000] batch loss : 1.3802 | time : 5.81s
[24800/100000] batch loss : 1.0391 | time : 4.95s
[24900/100000] batch loss : 1.5505 | time : 4.83s
[25000/100000] batch loss : 1.1704 | time : 5.02s
[25100/100000] batch loss : 2.3841 | time : 4.94s
[25200/100000] batch loss : 1.1533 | time : 4.89s
[25300/100000] batch loss : 1.6781 | time : 5.00s
[25400/100000] batch loss : 2.1860 | time : 4.81s
[25500/100000] batch loss : 1.1933 | time : 4.84s
[25600/100000] batch loss : 1.0485 | time : 5.02s
[25700/100000] batch loss : 0.8719 | time : 4.98s
[25800/100000] batch loss : 0.6098 | time : 4.94s
[25900/100000] batch loss : 1.0647 | time : 4.83s
[26000/100000] batch loss : 0.8433 | time : 4.96s
[26100/100000] batch loss : 1.1384 | time : 5.01s
[26200/100000] batch loss : 2.0496 | time : 4.83s
[26300/100000] batch loss : 1.6189 | time : 4.98s
[26400/100000] batch loss : 0.6276 | time : 5.00s
[26500/100000] batch loss : 1.3800 | time : 4.95s
[26600/100000] batch loss : 2.2875 | time : 5.01s
[26700/100000] batch loss : 0.5086 | time : 4.73s
[26800/100000] batch loss : 0.7490 | time : 4.73s
[26900/100000] batch loss : 0.7489 | time : 4.90s
[27000/100000] batch loss : 1.0972 | time : 5.07s
[27100/100000] batch loss : 1.4418 | time : 4.92s
[27200/100000] batch loss : 0.9693 | time : 4.84s
[27300/100000] batch loss : 0.5816 | time : 4.72s
[27400/100000] batch loss : 1.6803 | time : 4.82s
[27500/100000] batch loss : 1.5148 | time : 4.69s
[27600/100000] batch loss : 1.6457 | time : 4.83s
[27700/100000] batch loss : 2.4922 | time : 4.95s
[27800/100000] batch loss : 0.6931 | time : 4.86s
[27900/100000] batch loss : 0.3910 | time : 4.93s
